iter	Passed	Remaining
0	0	929
1	3	1742
2	6	2124
3	7	1774
4	7	1564
5	8	1427
6	9	1329
7	10	1255
8	10	1198
9	11	1152
10	12	1116
11	13	1129
12	14	1122
13	15	1100
14	16	1070
15	16	1037
16	17	1010
17	18	985
18	18	964
19	20	989
20	21	986
21	21	965
22	22	949
23	23	940
24	23	933
25	25	951
26	26	937
27	26	924
28	27	915
29	27	903
30	28	890
31	29	879
32	29	870
33	30	862
34	31	858
35	32	864
36	33	870
37	34	866
38	35	874
39	36	864
40	36	856
41	37	848
42	37	841
43	38	834
44	39	832
45	39	827
46	40	819
47	41	813
48	41	806
49	42	802
50	43	808
51	44	802
52	44	796
53	45	790
54	45	785
55	46	779
56	46	775
57	47	769
58	47	765
59	48	761
60	49	757
61	49	753
62	50	749
63	50	745
64	51	741
65	52	738
66	52	734
67	53	731
68	53	727
69	54	723
70	55	720
71	55	718
72	56	716
73	57	720
74	58	722
75	59	719
76	59	716
77	60	714
78	61	711
79	61	708
80	62	705
81	62	704
82	63	698
83	63	695
84	64	692
85	64	689
86	65	687
87	66	684
88	66	681
89	67	678
90	67	675
91	68	672
92	68	670
93	69	667
94	69	665
95	70	662
96	70	659
97	71	657
98	72	659
99	73	658
100	73	656
101	74	654
102	74	652
103	75	651
104	76	649
105	76	646
106	77	645
107	78	645
108	79	648
109	79	647
110	80	645
111	81	642
112	81	640
113	82	638
114	82	636
115	83	635
116	83	632
117	84	630
118	84	628
119	85	627
120	86	625
121	86	622
122	87	626
123	89	634
124	90	633
125	91	633
126	91	631
127	92	630
128	93	628
129	93	626
130	94	624
131	94	622
132	95	620
133	95	618
134	96	616
135	96	614
136	97	613
137	97	611
138	98	610
139	99	608
140	99	606
141	99	603
142	100	602
143	101	600
144	101	599
145	102	598
146	103	597
147	103	595
148	104	595
149	104	593
150	105	591
151	105	589
152	106	588
153	106	586
154	107	585
155	107	583
156	108	582
157	108	580
158	109	579
159	110	577
160	110	575
161	111	574
162	111	572
163	112	571
164	112	570
165	113	568
166	113	567
167	114	566
168	114	564
169	115	563
170	115	561
171	116	561
172	117	560
173	117	559
174	118	558
175	118	557
176	119	555
177	120	554
178	120	553
179	121	551
180	121	550
181	123	554
182	124	554
183	126	559
184	127	559
185	127	558
186	128	556
187	128	555
188	129	554
189	129	553
190	130	552
191	131	552
192	132	553
193	133	553
194	133	552
195	134	550
196	134	549
197	135	548
198	135	547
199	136	545
200	137	544
201	137	543
202	138	542
203	138	541
204	139	540
205	139	538
206	140	537
207	140	536
208	141	535
209	141	533
210	142	532
211	143	531
212	143	530
213	144	529
214	144	528
215	145	526
216	145	525
217	146	524
218	146	524
219	147	523
220	148	521
221	148	520
222	149	519
223	149	518
224	150	517
225	150	515
226	151	514
227	151	513
228	152	512
229	152	511
230	153	510
231	154	509
232	154	508
233	155	507
234	155	506
235	156	505
236	156	505
237	157	504
238	158	503
239	158	502
240	159	501
241	159	500
242	160	499
243	161	499
244	161	499
245	162	497
246	163	496
247	163	496
248	164	496
249	165	495
250	165	494
251	166	493
252	166	492
253	167	491
254	167	490
255	168	489
256	169	488
257	169	487
258	170	486
259	170	485
260	171	484
261	171	483
262	172	482
263	172	482
264	173	481
265	174	480
266	174	479
267	175	479
268	176	478
269	176	478
270	177	477
271	178	476
272	178	475
273	179	474
274	179	473
275	180	472
276	180	472
277	181	471
278	181	470
279	182	469
280	183	468
281	183	467
282	184	466
283	184	465
284	185	465
285	186	464
286	186	463
287	187	462
288	187	461
289	188	461
290	188	460
291	189	460
292	191	461
293	192	461
294	192	460
295	193	459
296	193	458
297	194	458
298	194	457
299	195	456
300	196	455
301	196	454
302	197	453
303	197	452
304	198	451
305	198	451
306	199	450
307	200	450
308	200	449
309	201	448
310	202	447
311	202	446
312	203	446
313	203	445
314	204	444
315	205	444
316	206	443
317	206	442
318	207	442
319	207	441
320	208	440
321	208	439
322	209	438
323	209	437
324	210	436
325	210	435
326	211	435
327	211	434
328	212	433
329	213	432
330	213	431
331	214	430
332	214	429
333	215	429
334	215	428
335	216	427
336	216	426
337	217	425
338	217	425
339	218	424
340	219	423
341	219	423
342	220	422
343	221	422
344	221	421
345	222	420
346	222	419
347	223	418
348	224	417
349	224	417
350	225	416
351	225	415
352	226	414
353	226	413
354	227	413
355	227	412
356	228	411
357	229	410
358	229	410
359	230	409
360	231	408
361	231	408
362	232	407
363	232	406
364	233	405
365	233	404
