iter	Passed	Remaining
0	1	110
1	3	155
2	3	124
3	4	108
4	5	100
5	6	94
6	6	92
7	7	89
8	8	85
9	9	83
10	9	80
11	10	77
12	11	75
13	12	74
14	12	72
15	13	71
16	14	69
17	15	68
18	15	66
19	16	65
20	17	64
21	18	65
22	19	64
23	20	63
24	20	62
25	21	62
26	22	61
27	23	61
28	24	60
29	25	60
30	26	59
31	27	59
32	28	58
33	29	57
34	31	59
35	34	60
36	35	59
37	35	58
38	36	57
39	38	57
40	39	56
41	39	55
42	40	53
43	41	52
44	42	51
45	42	50
46	43	49
47	44	48
48	45	47
49	45	45
50	46	44
51	47	44
52	48	43
53	49	41
54	49	40
55	50	39
56	51	38
57	51	37
58	52	36
59	53	35
60	54	34
61	54	33
62	55	32
63	56	31
64	57	30
65	57	29
66	58	28
67	59	27
68	60	26
69	60	26
70	61	25
71	62	24
72	63	23
73	63	22
74	64	21
75	65	20
76	66	19
77	66	18
78	67	17
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	73	11
87	74	10
88	75	9
89	76	8
90	76	7
91	77	6
92	78	5
93	79	5
94	80	4
95	80	3
96	97	3
97	98	2
98	99	1
99	100	0
